TABLE_NAME	COLUMN_NAME
Roles	id
Roles	nombre
Roles	descripcion
Roles	fecha_creacion
Usuarios	id
Usuarios	nombre
Usuarios	usuario
Usuarios	contrasena
Usuarios	rol_id
Usuarios	estado
Usuarios	email
Usuarios	fecha_creacion
Usuarios	fecha_ultimo_acceso
Documentos	id
Documentos	nombre
Documentos	codigo
Documentos	categoria
Documentos	area
Documentos	responsable_id
Documentos	estado
Documentos	descripcion
Documentos	fecha_creacion
Documentos	fecha_modificacion
Documentos	fecha_vencimiento
Documentos	activo
Documentos	departamento
VersionesDocumento	id
VersionesDocumento	documento_id
VersionesDocumento	numero_version
VersionesDocumento	usuario_id
VersionesDocumento	fecha_subida
VersionesDocumento	comentario
VersionesDocumento	ruta_archivo
VersionesDocumento	tamano_archivo
VersionesDocumento	tipo_archivo
Auditoria	id
Auditoria	usuario_id
Auditoria	accion
Auditoria	descripcion
Auditoria	tabla_afectada
Auditoria	registro_id
Auditoria	fecha
Auditoria	ip_address
Notificaciones	id
Notificaciones	documento_id
Notificaciones	tipo_evento
Notificaciones	fecha_programada
Notificaciones	enviado
Notificaciones	fecha_envio
Notificaciones	destinatarios
Notificaciones	mensaje
PermisosDocumento	id
PermisosDocumento	documento_id
PermisosDocumento	usuario_id
PermisosDocumento	puede_leer
PermisosDocumento	puede_editar
PermisosDocumento	puede_aprobar
PermisosDocumento	fecha_asignacion
vw_DocumentosCompleto	id
vw_DocumentosCompleto	nombre
vw_DocumentosCompleto	codigo
vw_DocumentosCompleto	categoria
vw_DocumentosCompleto	area
vw_DocumentosCompleto	estado
vw_DocumentosCompleto	descripcion
vw_DocumentosCompleto	fecha_creacion
vw_DocumentosCompleto	fecha_modificacion
vw_DocumentosCompleto	fecha_vencimiento
vw_DocumentosCompleto	responsable_nombre
vw_DocumentosCompleto	responsable_email
vw_DocumentosCompleto	total_versiones
vw_DocumentosCompleto	version_actual
